"k__Bacteria;__;__;__;__;__" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium" "k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella" "k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__" "k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus" "k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]" "k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium" "k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella" "k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila" "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__" "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__" "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus" "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter" "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas" "k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia"
"k__Bacteria;__;__;__;__;__" 1 0.247235852708634 0.760724455873564 0.367496668540889 0.258787722692577 0.000105622333805511 0.00364616965875153 0.367165821853334 0.405150905854744 0.326021776942517 0.153637054783198 0.369506456969295 0.794738794004153 0.613093194074569 0.00648110233453769 0.879575908660282 0.00387122899515102 0.640665828323534 0.0114577325592167 0.879550199874827 0.0656146440442797 0.420862151034192 0.596415649679322 0.483931880425429 0.175462987154604 0.929878213640201 0.000716100527228036 0.0117730404158141 0.349946078583303 0.00270307577611151 0.193933473301612 0.651474885835366 0.226582589825669 0.133762840186417 0.45789318498737 0.00911259176025814 0.0410516936196946 0.216970064982023 0.0364386897272773 0.438903259624785 0.0249445717243724 0.202982698520832 0.000295824067765182 0.867771212133315 0.174217175690922 0.64138789095041 0.759337881531297 0.672157325803569
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces" 0.247235852708634 1 0.226037184509534 0.309667875570023 0.113937918439352 8.91962592262097e-05 0.00325503842296526 0.569512423052211 0.2591722495469 0.707203516422758 0.753628644122289 0.152274175793492 0.903320622382666 0.217836982671766 0.1631301083637 0.543812548725014 0.00852518277303504 0.940171690388219 0.0173809567069113 0.454247891196831 0.0896061678833909 0.862873282097015 0.283389890060647 0.897462956553668 0.115025827233464 0.787595906750123 0.00102378751315824 0.0824227075246194 0.8290757988209 0.00353418118448889 0.17798955486501 0.766038132464478 0.143879113537555 0.0827727404412344 0.19599217703617 0.021158522003464 0.0789506129606852 0.457672371444151 0.360774507631263 0.182815476758002 0.0155521817666364 0.14159408381245 0.000617501750385219 0.94309107460402 0.747572843856448 0.433605860895436 0.542100723335168 0.473227687579949
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia" 0.760724455873564 0.226037184509534 1 0.36485159301544 0.329108708478535 0.00010658899372229 0.00442884601804761 0.358079310947943 0.43026182609201 0.2992486977621 0.149239712438929 0.398179224908547 0.756600674213193 0.995329727551648 0.00701686057323658 0.813547429988329 0.00374441561722572 0.614215847699113 0.010701605879075 0.703857805896924 0.0648446499517744 0.389827689021701 0.661431442142777 0.419595970132213 0.191584624792255 0.947794820270215 0.000637786400068174 0.00917083728533474 0.323821923039589 0.00296923975133867 0.199650008135837 0.574940660623767 0.259146974862178 0.187044546837338 0.733973388632626 0.00903213154667437 0.040908495901254 0.143057343668859 0.0312630889264218 0.603434706593119 0.0306284443702656 0.392606831359545 0.000281712249046384 0.816610764651923 0.171556929139973 0.408641613985493 0.688511047713221 0.697371871042533
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium" 0.367496668540889 0.309667875570023 0.36485159301544 1 0.387339211932039 0.00471420000069456 0.811200207485814 0.283056428514919 0.478271069625128 0.333355215242368 0.335006396648468 0.391301919529822 0.35022952718224 0.371884298310585 0.289461521022437 0.350698869721547 0.0882545198690441 0.337021331857098 0.0344826609681699 0.372176335550892 0.211168313480754 0.29330944229789 0.464365635785247 0.33330854148433 0.617503503489773 0.450291149778357 0.0186932931678567 0.211159423345753 0.360551391443298 0.700442289672558 0.941832193759535 0.355019464173074 0.472506870881298 0.471969379103213 0.375010557043873 0.105865468304531 0.150672827701371 0.361782948760299 0.308464889859059 0.39066267718493 0.505754588498176 0.386880420315745 0.0103121694754642 0.484874593639827 0.336511924295791 0.352240160138264 0.365267794347775 0.448041640052927
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella" 0.258787722692577 0.113937918439352 0.329108708478535 0.387339211932039 1 0.000116124044776678 0.00513105160436955 0.274524860776892 0.601543568632593 0.0957427679487703 0.0718350878352771 0.8597586104025 0.617686975811475 0.313426568503879 0.00755884255728501 0.475646347581686 0.00227481864629597 0.417658448770954 0.00771804243244711 0.401998736845997 0.0424215252782971 0.261737007510955 0.875513938265906 0.301747147610548 0.287642371695224 0.914497318021037 0.000528708526652988 0.00597516615645977 0.151863665628105 0.0250528978710485 0.236630949874928 0.272842402597104 0.651658995544939 0.591288861517546 0.482859086996486 0.00583552680587696 0.03282803400331 0.133286083793079 0.0177989435018706 0.546289722539499 0.0850487437088276 0.674182164749755 0.000268443098689675 0.82959352578289 0.113997982631874 0.220270676718792 0.354579982410717 0.70577753812239
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides" 0.000105622333805511 8.91962592262097e-05 0.00010658899372229 0.00471420000069456 0.000116124044776678 1 0.00115225582165401 7.76224215019994e-05 0.000153735669635502 9.64212788443497e-05 0.000106062303641075 0.000127773311677903 0.000239733721924873 0.000107969720811285 7.14352295003717e-05 0.000100093918619315 5.78953718228803e-05 0.000169790021746441 0.000104293011981671 9.6557520307794e-05 4.65602713004554e-05 9.06015771087176e-05 0.00014385088364377 9.00403280115203e-05 0.000371214108952245 0.000188639262020174 1.542570744828e-05 8.26115893874935e-05 7.22060200502028e-05 0.000216398999986711 0.00114468593543238 8.80558624032357e-05 0.000116602948374345 0.000148978129330679 0.000107451020983085 4.96210413523102e-05 8.03384681695718e-05 0.00010085964679396 9.72195101436313e-05 0.000108996732940181 0.000154771545545995 0.000107461593584768 2.32102138381096e-05 0.00297964981195986 0.000116364264874047 0.000102953197409827 9.65652646333082e-05 0.000107282935099096
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides" 0.00364616965875153 0.00325503842296526 0.00442884601804761 0.811200207485814 0.00513105160436955 0.00115225582165401 1 0.00402514321964209 0.0275328443183375 0.00198537283117184 0.00279547868661156 0.00636979998169496 0.0177224561554484 0.00404132011742919 0.00117071103363142 0.00548106370231594 0.000254609608300149 0.00529746476831761 0.00117462754862796 0.00500226519012403 0.00151182807038563 0.00327349663417165 0.00663930590265704 0.00524185004650413 0.125262848903017 0.0441759073496704 6.85168891001453e-05 0.000750401628834219 0.00284700582097397 0.068555134954881 0.657853807368346 0.00372226083546456 0.00694549301132297 0.0117768802897247 0.00381292703488745 0.000508115108504126 0.000750804143303752 0.00327225239277573 0.00148398954491569 0.00590747804084035 0.0236176127510632 0.0036376379211136 2.09969782276609e-05 0.208392546402615 0.00367520351537565 0.00365673057572724 0.00367657287914813 0.0134565568962668
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella" 0.367165821853334 0.569512423052211 0.358079310947943 0.283056428514919 0.274524860776892 7.76224215019994e-05 0.00402514321964209 1 0.242501171548338 0.50269708061179 0.525433596344185 0.320084100349631 0.601018412060358 0.362652835928437 0.805978408023691 0.364279675804223 0.145575002093756 0.591995223567193 0.0402529470761666 0.392213222812939 0.392814210453698 0.735316844977805 0.227055807459839 0.632555496058565 0.104302501247241 0.592469169541763 0.00849228961228632 0.678983188618468 0.528306112113517 0.0283874461670004 0.118011547773976 0.485601013689584 0.15446137734242 0.184894408893667 0.335736851416742 0.292381587200211 0.262723397625163 0.437708997653567 0.794983418444378 0.321999442885927 0.0876842665812989 0.307870255593529 0.00433305616087043 0.88604778205906 0.557327740206457 0.416473430504519 0.401066420664282 0.331427239401571
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__" 0.405150905854744 0.2591722495469 0.43026182609201 0.478271069625128 0.601543568632593 0.000153735669635502 0.0275328443183375 0.242501171548338 1 0.304613398049215 0.271111161010679 0.527956221292651 0.463623710666668 0.420307018034106 0.110276926191716 0.43241396146987 0.00818541753279822 0.3319276156293 0.0103725256811995 0.366250701368254 0.0708173806184766 0.253779527469816 0.545180895941064 0.283655107209571 0.534356306751812 0.712069352953087 0.00150268732158287 0.0484918040445984 0.264793987134425 0.451192121691831 0.271503997106396 0.291047384433803 0.787468087588805 0.697713493601694 0.461991231205178 0.0158642538375346 0.0439690962131494 0.342414394258686 0.153947294042327 0.508174514935284 0.624386299505297 0.488110231653625 0.000497661513222392 0.735011375689704 0.24408075025075 0.368126224181765 0.396352644463613 0.774503028086883
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus" 0.326021776942517 0.707203516422758 0.2992486977621 0.333355215242368 0.0957427679487703 9.64212788443497e-05 0.00198537283117184 0.50269708061179 0.304613398049215 1 0.735860848421634 0.152467469313531 0.991363422221122 0.277770742528623 0.0822063996376516 0.691974280709867 0.00878050820275478 0.881683179234986 0.0150468998693101 0.690038343206559 0.09233273508781 0.633358178104829 0.333003132597409 0.765186338207469 0.140085219974947 0.819186506003734 0.00121260327878714 0.0456252668525431 0.83878707262997 0.00155731759681821 0.163552866800033 0.943158738861576 0.101849797623762 0.0787878172430961 0.242084574561736 0.0180864498528389 0.0548084651840086 0.807887890951702 0.20933618158833 0.190877633975314 0.0177629689442504 0.149339956663739 0.000464444706062661 0.922829591195007 0.547893168509062 0.632649307192155 0.824417479257123 0.518362191251922
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus" 0.153637054783198 0.753628644122289 0.149239712438929 0.335006396648468 0.0718350878352771 0.000106062303641075 0.00279547868661156 0.525433596344185 0.271111161010679 0.735860848421634 1 0.0759025958509943 0.954304202479272 0.134833408634012 0.128114075665498 0.550707755828301 0.0111503297789035 0.993834792209601 0.015304765084291 0.445526987801869 0.100240873976077 0.704841071512778 0.285984842321736 0.850951390353207 0.122555766394818 0.838439684590406 0.00080741783084104 0.0301366311724847 0.916588694543467 0.001125924125985 0.205663669149048 0.804144115069733 0.11314425898023 0.0489501981703121 0.114708898144252 0.0193654395555575 0.0669184763914779 0.505385019327386 0.185504959046586 0.0749342636052898 0.0141875418858513 0.0850273785890971 0.000339677619789258 0.97658133889805 0.640095203492224 0.383714083155715 0.582751543780069 0.466954138002942
